RE+1_R3_CH29_C  637649418 -1.21018 2.99132
RE-1_R2_CH35_A  637584004 0 0
RE-1_R2_CH35_B  637616772 0 0
RE-1_R2_CH35_C  637649540 0 0
RE+1_R2_CH35_A  637584006 -0.312032 6.01649
RE+1_R2_CH35_B  637616774 1.28034 4.81349
RE+1_R2_CH35_C  637649542 -1.20104 4.2477
RE-1_R3_CH35_A  637584008 0 0
RE-1_R3_CH35_B  637616776 0 0
RE-1_R3_CH35_C  637649544 0 0
RE+1_R3_CH35_A  637584010 0.358944 3.68413
RE+1_R3_CH35_B  637616778 0.379155 3.75549
RE+1_R3_CH35_C  637649546 0.296192 3.47175
RE-1_R2_CH06_A  637587460 0 0
RE-1_R2_CH06_B  637620228 0 0
RE-1_R2_CH06_C  637652996 0 0
RE+1_R2_CH06_A  637587462 -4.43747 1.32086
RE+1_R2_CH06_B  637620230 -3.93368 1.14832
RE+1_R2_CH06_C  637652998 -3.28532 1.4076
RE-1_R3_CH06_A  637587464 0 0
RE-1_R3_CH06_B  637620232 0 0
RE-1_R3_CH06_C  637653000 0 0
RE+1_R3_CH06_A  637587466 -0.25976 2.97388
RE+1_R3_CH06_B  637620234 0.33135 3.12166
RE+1_R3_CH06_C  637653002 0.846598 2.82584
RE-1_R2_CH12_A  637587588 0 0
RE-1_R2_CH12_B  637620356 0 0
RE-1_R2_CH12_C  637653124 0 0
RE+1_R2_CH12_A  637587590 -4.66986 1.34351
RE+1_R2_CH12_B  637620358 -4.13597 1.09695
RE+1_R2_CH12_C  637653126 -3.42241 1.34913
RE-1_R3_CH12_A  637587592 0 0
RE-1_R3_CH12_B  637620360 0 0
RE-1_R3_CH12_C  637653128 0 0
RE+1_R3_CH12_A  637587594 0.403594 2.76718
RE+1_R3_CH12_B  637620362 -0.430466 2.86104
RE+1_R3_CH12_C  637653130 -0.895059 2.8364
RE-1_R2_CH18_A  637587716 0 0
RE-1_R2_CH18_B  637620484 0 0
RE-1_R2_CH18_C  637653252 0 0
RE+1_R2_CH18_A  637587718 -4.49652 2.04157
RE+1_R2_CH18_B  637620486 -4.27609 1.55719
RE+1_R2_CH18_C  637653254 -3.26006 1.92294
RE-1_R3_CH18_A  637587720 0 0
RE-1_R3_CH18_B  637620488 0 0
RE-1_R3_CH18_C  637653256 0 0
RE+1_R3_CH18_A  637587722 0.326106 3.75492
RE+1_R3_CH18_B  637620490 0.211513 3.69551
RE+1_R3_CH18_C  637653258 0.0198871 3.53681
RE-1_R2_CH24_A  637587844 0 0
RE-1_R2_CH24_B  637620612 0 0
RE-1_R2_CH24_C  637653380 0 0
RE+1_R2_CH24_A  637587846 -3.97655 3.96642
RE+1_R2_CH24_B  637620614 -3.54786 1.29043
RE+1_R2_CH24_C  637653382 -2.90345 1.52783
RE-1_R3_CH24_A  637587848 0 0
RE-1_R3_CH24_B  637620616 0 0
RE-1_R3_CH24_C  637653384 0 0
RE+1_R3_CH24_A  637587850 0 0
RE+1_R3_CH24_B  637620618 0 0
RE+1_R3_CH24_C  637653386 0 0
RE-1_R2_CH30_A  637587972 0 0
RE-1_R2_CH30_B  637620740 0 0
RE-1_R2_CH30_C  637653508 0 0
RE+1_R2_CH30_A  637587974 -4.791 1.52837
RE+1_R2_CH30_B  637620742 -4.23232 1.33432
RE+1_R2_CH30_C  637653510 -3.27658 1.51345
RE-1_R3_CH30_A  637587976 0 0
